88,17.50,94.75,56.53,229.68,40.3964958,-4.0231771,613.90,0.49
89,17.55,94.75,56.57,220.00,40.3964920,-4.0231762,613.90,0.20
90,17.59,94.75,56.78,230.97,40.3964920,-4.0231767,614.20,0.05
91,17.57,94.75,56.86,226.45,40.3964920,-4.0231748,614.10,0.29
92,17.57,94.75,56.64,221.94,40.3964920,-4.0231748,614.20,0.22
93,17.54,94.75,56.64,154.19,40.3964920,-4.0231700,613.80,0.65
94,17.57,94.75,56.60,185.81,40.3964920,-4.0231695,614.10,0.44
95,17.59,94.75,56.53,183.23,40.3964958,-4.0231714,614.10,0.75
96,17.57,94.75,56.56,194.84,40.3964958,-4.0231719,614.30,1.54
97,17.59,94.75,56.67,187.74,40.3964996,-4.0231733,614.20,0.82
98,17.59,94.75,56.49,216.13,40.3964996,-4.0231733,613.90,1.20
99,17.48,94.75,56.34,198.06,40.3964996,-4.0231714,613.80,0.07
100,17.48,94.75,56.22,187.74,40.3964996,-4.0231686,613.30,0.40
101,17.55,94.75,56.34,186.45,40.3964996,-4.0231686,613.90,0.31
102,17.50,94.75,56.17,210.32,40.3964996,-4.0231681,613.40,0.39
103,17.42,94.75,56.17,147.74,40.3964996,-4.0231671,613.30,0.30
104,17.54,94.75,56.25,142.58,40.3964996,-4.0231652,612.50,0.24
105,17.59,94.75,56.46,154.19,40.3964996,-4.0231681,613.20,0.76
106,17.59,94.75,56.54,202.58,40.3964996,-4.0231681,613.00,0.15
107,17.59,94.75,56.54,170.97,40.3964996,-4.0231628,612.80,0.77
108,17.59,94.75,56.51,203.87,40.3964996,-4.0231614,613.10,0.41
109,17.61,94.75,56.47,214.84,40.3964958,-4.0231586,612.90,0.30
110,17.63,94.75,56.52,231.61,40.3964958,-4.0231562,612.20,0.26
111,17.63,94.75,56.40,238.06,40.3964958,-4.0231547,612.30,0.20
112,17.55,94.75,56.26,200.00,40.3964958,-4.0231528,612.30,0.38
113,17.59,94.75,56.31,194.19,40.3964958,-4.0231490,612.10,0.51
114,17.46,94.75,56.10,293.55,40.3964996,-4.0231442,612.00,1.14
115,17.55,94.75,55.96,331.61,40.3964996,-4.0231423,611.30,0.91
116,17.46,94.74,55.92,327.74,40.3964996,-4.0231442,611.30,0.20
117,17.54,94.75,55.88,332.26,40.3964996,-4.0231462,611.20,0.08
118,17.52,94.75,55.75,330.97,40.3964996,-4.0231481,610.70,0.32
119,17.48,94.74,55.75,322.58,40.3964996,-4.0231476,610.70,0.19
120,17.52,94.75,55.81,331.61,40.3964996,-4.0231500,611.10,0.34
121,17.59,94.75,55.82,324.52,40.3965034,-4.0231524,611.00,0.17
122,17.57,94.75,55.71,320.65,40.3965034,-4.0231524,611.30,0.24
123,17.57,94.74,55.73,313.55,40.3965034,-4.0231524,611.20,0.08
124,17.63,94.75,55.66,329.03,40.3964996,-4.0231500,610.80,1.28
125,17.59,94.75,55.43,364.52,40.3964996,-4.0231528,610.80,0.28
126,17.52,94.75,55.53,369.68,40.3964996,-4.0231552,610.60,0.54
127,17.63,94.75,55.43,363.23,40.3964996,-4.0231562,610.40,0.26
128,17.61,94.75,55.61,373.55,40.3965034,-4.0231547,610.90,0.86
129,17.59,94.75,55.41,325.16,40.3965111,-4.0231547,612.00,0.46
130,17.65,94.75,55.48,304.52,40.3965111,-4.0231566,612.10,0.28
131,17.66,94.75,55.48,318.06,40.3965034,-4.0231586,612.30,0.64
132,17.65,94.75,55.32,334.84,40.3965034,-4.0231562,612.20,0.85
133,17.63,94.75,55.34,354.84,40.3965034,-4.0231566,612.10,0.11
134,17.65,94.75,55.55,345.16,40.3965034,-4.0231571,612.70,0.88
135,17.66,94.75,55.50,292.90,40.3965034,-4.0231566,613.00,0.90
136,17.66,94.74,55.55,263.23,40.3965034,-4.0231571,613.00,0.72
137,17.66,94.75,55.62,318.06,40.3965034,-4.0231571,612.80,0.21
138,17.68,94.75,55.72,302.58,40.3965034,-4.0231562,612.50,0.45
139,17.72,94.75,55.72,300.00,40.3964996,-4.0231571,612.70,0.21
140,17.68,94.75,55.63,296.77,40.3964996,-4.0231586,613.00,0.08
141,17.68,94.75,55.66,285.81,40.3964996,-4.0231543,613.10,1.27
142,17.72,94.75,55.26,636.77,40.3964996,-4.0231481,613.00,1.79
143,17.70,94.74,54.42,647.74,40.3964996,-4.0231433,613.10,1.54
144,17.72,94.75,55.61,200.65,40.3964958,-4.0231357,612.70,2.57
145,17.72,94.75,55.66,138.71,40.3964958,-4.0231295,612.50,1.60
146,17.70,94.75,55.37,289.68,40.3964920,-4.0231314,612.80,0.97
147,17.50,94.74,55.39,214.19,40.3964920,-4.0231314,612.80,0.52
148,17.42,94.75,55.35,195.48,40.3964920,-4.0231276,612.90,1.14
149,17.48,94.74,55.34,168.39,40.3964920,-4.0231276,613.00,0.55
150,17.55,94.75,55.43,169.03,40.3964920,-4.0231295,612.40,1.17
151,17.57,94.75,55.32,216.77,40.3964920,-4.0231276,611.80,0.57
152,17.61,94.75,55.31,202.58,40.3964920,-4.0231252,611.30,0.69
153,17.66,94.75,55.28,200.65,40.3964844,-4.0231242,610.90,1.10
154,17.54,94.75,55.01,229.03,40.3964844,-4.0231242,610.90,0.11
155,17.50,94.74,54.96,243.87,40.3964844,-4.0231242,611.00,0.13
156,17.42,94.75,55.02,206.45,40.3964844,-4.0231242,611.20,0.28
157,17.50,94.75,55.32,130.97,40.3964844,-4.0231242,611.30,0.25
158,17.54,94.75,55.46,97.42,40.3964844,-4.0231252,611.20,0.62
159,17.63,94.75,55.48,88.39,40.3964844,-4.0231261,611.20,0.32
160,17.63,94.75,55.49,86.45,40.3964844,-4.0231252,611.20,0.01
